feature,importance
cat__Exterior1st_HdBoard,0.008220607591866474
cat__Neighborhood_OldTown,0.008166030322171227
cat__BsmtFinType2_BLQ,0.00737682364677595
cat__Exterior1st_AsbShng,0.006886644007963399
cat__Electrical_SBrkr,0.006500950028404649
cat__LotShape_IR1,0.006432737971202174
cat__Exterior1st_VinylSd,0.005947762942453845
cat__HouseStyle_2.5Unf,0.005761439707937812
cat__PavedDrive_Y,0.005731523992249779
cat__Neighborhood_NAmes,0.00534210425671111
cat__ExterQual_Fa,0.004723723967208733
cat__SaleType_COD,0.004510181677100188
cat__BsmtFinType1_Rec,0.0044951282291012225
cat__LandContour_Bnk,0.004393937783551085
cat__Exterior2nd_Plywood,0.0043052736752745464
cat__SaleType_ConLD,0.004215670978419012
cat__Exterior2nd_Brk Cmn,0.003887187318076107
cat__LotShape_IR2,0.0038602659274397616
cat__LandContour_Low,0.0036943149375362793
cat__GarageType_CarPort,0.00362413275602928
cat__RoofStyle_Flat,0.0032681825794053858
cat__GarageQual_Ex,0.003082084986515291
cat__GarageQual_Fa,0.0028555570557670267
cat__Heating_Wall,0.002825916275964668
cat__GarageQual_Gd,0.0025859389013088954
cat__SaleType_ConLI,0.0024847613031949638
cat__Neighborhood_Veenker,0.002434467852317693
cat__PavedDrive_P,0.0024213044853833832
cat__MSZoning_RH,0.002404406464731869
cat__Neighborhood_SWISU,0.0023072184288969646
cat__HouseStyle_SFoyer,0.00215932961425769
cat__Exterior2nd_Stucco,0.002080075224255783
cat__Functional_Maj1,0.0019135484613494495
cat__Functional_Min1,0.0012711985365296502
cat__BsmtFinType2_Unf,0.0011027522500887134
cat__Heating_Grav,0.0010898004587854859
cat__Exterior1st_WdShing,0.0010838517118573166
cat__BsmtFinType1_None,0.0007395245787920116
cat__Condition1_RRAn,0.00043620298851267114
cat__Condition1_PosA,0.0003087193801238583
cat__GarageQual_Po,0.00017034634018566196
cat__Heating_OthW,0.00016873420686602155
cat__ExterCond_Po,5.0743634396952503e-05
cat__Condition1_RRNe,1.9503273852832206e-06
cat__SaleType_Oth,0.0
cat__Electrical_FuseP,0.0
cat__SaleCondition_AdjLand,0.0
cat__SaleCondition_Alloca,0.0
cat__FireplaceQu_Fa,0.0
cat__GarageCond_Po,0.0
cat__GarageFinish_Fin,0.0
cat__SaleType_ConLw,0.0
cat__SaleType_Con,0.0
num__LowQualFinSF,0.0
cat__Functional_Min2,0.0
num__3SsnPorch,0.0
cat__GarageType_2Types,0.0
cat__SaleType_CWD,0.0
cat__GarageCond_Gd,0.0
cat__GarageCond_Ex,0.0
cat__GarageCond_Fa,0.0
cat__GarageType_BuiltIn,0.0
cat__Foundation_Slab,0.0
cat__HeatingQC_Po,0.0
cat__Neighborhood_Timber,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_AsphShn,0.0
cat__RoofStyle_Shed,0.0
cat__RoofStyle_Mansard,0.0
cat__RoofStyle_Gambrel,0.0
cat__HouseStyle_SLvl,0.0
cat__HouseStyle_2Story,0.0
cat__HouseStyle_2.5Fin,0.0
cat__HouseStyle_1.5Unf,0.0
cat__BldgType_TwnhsE,0.0
cat__Condition1_PosN,0.0
cat__LotConfig_Corner,0.0
cat__Neighborhood_SawyerW,0.0
cat__Exterior1st_ImStucc,0.0
cat__Neighborhood_NridgHt,0.0
cat__Neighborhood_NPkVill,0.0
cat__Neighborhood_Mitchel,0.0
cat__Neighborhood_IDOTRR,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_CollgCr,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_Blueste,0.0
cat__Neighborhood_Blmngtn,0.0
cat__LandSlope_Sev,0.0
cat__LandSlope_Mod,0.0
cat__LandSlope_Gtl,0.0
cat__Exterior1st_CemntBd,0.0
cat__Exterior1st_Stone,0.0
cat__Heating_GasW,0.0
cat__BsmtQual_Fa,0.0
cat__Heating_Floor,0.0
cat__BsmtFinType2_Rec,0.0
cat__BsmtFinType2_LwQ,0.0
cat__BsmtFinType2_GLQ,0.0
cat__BsmtFinType2_ALQ,0.0
cat__BsmtFinType1_LwQ,0.0
cat__BsmtFinType1_BLQ,0.0
cat__BsmtExposure_None,0.0
cat__BsmtExposure_Mn,0.0
cat__BsmtCond_Po,0.0
cat__BsmtCond_None,0.0
