feature,importance
cat__GarageType_CarPort,0.0
cat__GarageType_Detchd,0.0
cat__Functional_Maj2,0.0
cat__BldgType_2fmCon,0.0
num__FullBath,0.0
cat__Neighborhood_MeadowV,0.0
cat__BsmtFinType2_Rec,0.0
cat__Heating_Floor,0.0
cat__Heating_GasW,0.0
cat__Heating_Grav,0.0
cat__Heating_OthW,0.0
cat__Heating_Wall,0.0
cat__Neighborhood_NoRidge,0.0
cat__HeatingQC_Fa,0.0
cat__HeatingQC_Gd,0.0
cat__HeatingQC_Po,0.0
cat__HeatingQC_TA,0.0
cat__Neighborhood_NWAmes,0.0
num__HalfBath,0.0
cat__Electrical_FuseA,0.0
cat__Electrical_FuseF,0.0
cat__Electrical_FuseP,0.0
cat__Electrical_None,0.0
cat__Electrical_SBrkr,0.0
cat__Neighborhood_NPkVill,0.0
cat__KitchenQual_Gd,0.0
cat__GarageFinish_None,0.0
cat__GarageType_None,0.0
cat__SaleType_ConLD,0.0
cat__Fence_None,0.0
cat__MiscFeature_Gar2,0.0
cat__MiscFeature_None,0.0
cat__MiscFeature_Othr,0.0
cat__MiscFeature_Shed,0.0
cat__MiscFeature_TenC,0.0
cat__LandContour_Bnk,0.0
cat__SaleType_CWD,0.0
cat__SaleType_Con,0.0
cat__SaleType_ConLI,0.0
cat__LandContour_Low,0.0
cat__SaleType_ConLw,0.0
cat__LotShape_IR3,0.0
cat__SaleType_Oth,0.0
cat__Alley_Pave,0.0
cat__Alley_None,0.0
cat__SaleCondition_AdjLand,0.0
cat__Alley_Grvl,0.0
cat__Street_Pave,0.0
cat__Street_Grvl,0.0
cat__Fence_MnWw,0.0
cat__Fence_GdWo,0.0
cat__BsmtFinType2_LwQ,0.0
cat__Utilities_NoSeWa,0.0
cat__LotConfig_FR2,0.0
cat__GarageFinish_Unf,0.0
cat__GarageQual_Ex,0.0
cat__GarageQual_Fa,0.0
cat__GarageQual_Gd,0.0
cat__GarageQual_None,0.0
cat__GarageQual_Po,0.0
cat__LotConfig_Corner,0.0
cat__GarageCond_Ex,0.0
cat__GarageCond_Gd,0.0
cat__Utilities_AllPub,0.0
cat__GarageCond_None,0.0
cat__GarageCond_Po,0.0
cat__GarageCond_TA,0.0
cat__PavedDrive_N,0.0
cat__PavedDrive_P,0.0
cat__PavedDrive_Y,0.0
cat__PoolQC_Ex,0.0
cat__PoolQC_Fa,0.0
cat__PoolQC_Gd,0.0
cat__BsmtFinType2_None,0.0
cat__BsmtFinType2_ALQ,0.0
cat__BsmtFinType2_GLQ,0.0
cat__Exterior1st_Stone,0.0
cat__Exterior1st_AsphShn,0.0
cat__Exterior1st_BrkComm,0.0
cat__Condition2_RRAe,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_CemntBd,0.0
cat__Exterior1st_HdBoard,0.0
cat__Exterior1st_ImStucc,0.0
cat__Condition2_PosN,0.0
cat__Condition2_PosA,0.0
cat__Exterior1st_Stucco,0.0
cat__Neighborhood_OldTown,0.0
cat__Exterior1st_VinylSd,0.0
num__ScreenPorch,0.0
cat__Condition2_Norm,0.0
cat__Exterior2nd_AsphShn,0.0
cat__Exterior2nd_Brk Cmn,0.0
cat__Exterior2nd_BrkFace,0.0
cat__Exterior2nd_CBlock,0.0
cat__Exterior2nd_CmentBd,0.0
cat__Exterior2nd_HdBoard,0.0
cat__Exterior1st_AsbShng,0.0
cat__RoofMatl_WdShngl,0.0
cat__RoofMatl_WdShake,0.0
cat__RoofMatl_Tar&Grv,0.0
cat__BldgType_Twnhs,0.0
cat__BldgType_TwnhsE,0.0
cat__HouseStyle_1.5Fin,0.0
cat__HouseStyle_1.5Unf,0.0
cat__HouseStyle_1Story,0.0
cat__HouseStyle_2.5Fin,0.0
cat__HouseStyle_2.5Unf,0.0
num__MiscVal,0.0
cat__HouseStyle_SFoyer,0.0
cat__HouseStyle_SLvl,0.0
cat__RoofStyle_Flat,0.0
cat__Condition2_RRNn,0.0
cat__RoofStyle_Gambrel,0.0
cat__RoofStyle_Hip,0.0
cat__RoofStyle_Mansard,0.0
cat__Condition2_RRAn,0.0
cat__RoofMatl_CompShg,0.0
cat__RoofMatl_Metal,0.0
cat__RoofMatl_Roll,0.0
cat__Exterior2nd_ImStucc,0.0
cat__Exterior2nd_Other,0.0
cat__Exterior2nd_Plywood,0.0
cat__BsmtQual_Fa,0.0
cat__BsmtQual_None,0.0
cat__Condition1_PosN,0.0
cat__Condition1_Feedr,0.0
cat__BsmtCond_Gd,0.0
cat__BsmtCond_None,0.0
cat__BsmtCond_Po,0.0
cat__BsmtCond_TA,0.0
cat__Neighborhood_Timber,0.0
cat__Neighborhood_SawyerW,0.0
cat__BsmtExposure_Mn,0.0
cat__Neighborhood_Sawyer,0.0
cat__BsmtExposure_None,0.0
cat__BsmtFinType1_ALQ,0.0
num__GarageCars,0.0
cat__BsmtFinType1_LwQ,0.0
cat__BsmtFinType1_None,0.0
cat__BsmtFinType1_Rec,0.0
cat__Neighborhood_SWISU,0.0
cat__BldgType_Duplex,0.0
cat__Condition1_RRAn,0.0
num__3SsnPorch,0.0
cat__Exterior2nd_Stone,0.0
cat__Condition1_RRNe,0.0
cat__Exterior2nd_Stucco,0.0
cat__Exterior2nd_Wd Sdng,0.0
cat__Exterior2nd_Wd Shng,0.0
cat__MasVnrType_BrkCmn,0.0
cat__MasVnrType_None,0.0
cat__MasVnrType_Stone,0.0
cat__ExterQual_Ex,0.0
cat__ExterQual_Fa,0.0
cat__ExterQual_Gd,0.0
cat__Condition2_Feedr,0.0
cat__ExterCond_Ex,0.0
cat__Condition2_Artery,0.0
cat__ExterCond_Gd,0.0
cat__ExterCond_Po,0.0
cat__Foundation_BrkTil,0.0
cat__Foundation_CBlock,0.0
cat__Condition1_RRNn,0.0
cat__Foundation_Slab,0.0
cat__Foundation_Stone,0.0
cat__MSZoning_RH,0.0
